BAIRRO;QDE_LANCAMENTOS;VALOR_TOTAL_LANCADO
CONJUNTO JATOBA;3;48.566,53
SAO SEBASTIAO;3;2.792,80
CAMPONESA I;3;23.357,50
VILA AEROPORTO JARAGUA;3;1.800,62
SANTANA DO CAFEZAL;3;1.760,32
VILA FORMOSA;3;7.788,60
CONJUNTO TAQUARIL;3;4.636,51
VILA NOVA GAMELEIRA II;3;2.834,81
VILA SAO PAULO;2;2.481,18
GROTINHA;2;3.500,22
LAGOA DA PAMPULHA;2;125.109,47
MARAVILHA;2;1.354,68
VILA NOVA DOS MILIONARIOS;2;2.047,38
MONTE SAO JOSE;2;25.065,68
SANTA RITA;2;37.378,68
JARDIM DO VALE;2;2.706,97
VILA SAO FRANCISCO;2;3.189,61
VILA TIROL;2;677,34
VILA SAO GABRIEL JACUI;2;1.391,54
VILA NOVA CACHOEIRINHA III (Desativado);2;5.773,02
MARMITEIROS;2;1.243,50
VILA BARRAGEM SANTA LUCIA;2;1.527,61
VILA SAO GERALDO;2;677,34
VILA DOS ANJOS;2;1.306,84
VILA SUZANA II;2;3.219,74
ESTRELA;2;1.180,03
VILA CANTO DO SABIA;2;171.891,96
VILA PUC;1;232,06
FLAVIO DE OLIVEIRA;1;646,78
BARAO HOMEM DE MELO I;1;4.964,29
CONJUNTO FLORAMAR;1;305,37
VILA MADRE GERTRUDES III;1;232,06
VILA PETROPOLIS;1;6.252,66
MARIQUINHAS;1;2.072,43
ESPERANCA;1;232,06
BISPO DE MAURA;1;2.756,54
VITORIA DA CONQUISTA;1;781,46
VILA MADRE GERTRUDES V;1;1.377,09
VILA ANTENA;1;3.941,78
BOA ESPERANCA;1;2.399,03
VILA TRINTA E UM DE MARCO;1;2.096,08
VILA ATILA DE PAIVA;1;1.249,01
VILA NOVA;1;974,77
MORRO DOS MACACOS;1;15.868,36
VILA PILAR;1;76.392,70
CORUMBIARA;1;322,38
VILA DA AREA;1;338,67
BERNADETE;1;31.798,86
VILA ESPLANADA;1;2.291,78
VILA VERA CRUZ II;1;1.016,01
VILA SESC;1;1.930,00
ANDIROBA;1;338,67
SPORT CLUB;1;209,87
CONEGO PINHEIRO A;1;677,34
VILA PINHO;1;1.146,55
BACURAU;1;1.354,68
